"X","date","cmname","unit","category","price","currency","mktname","lat","long","year","quarter","price_norm","stdev","distinct_prices","stdev_mean"
581,Mar 2021,"Millet - Retail","KG","cereals and tubers",198,"XOF","Tougan",13.0690536,-3.0695369,2021,2021 Q1,0.372262773722628,0.0147498243953554,3,0.0147498243953554
1402,Mar 2021,"Millet - Retail","KG","cereals and tubers",217,"XOF","Dedougou",12.4617,-3.457987,2021,2021 Q1,0.441605839416058,0.0344950045711869,3,0.0344950045711869
2949,Mar 2021,"Millet - Retail","KG","cereals and tubers",238,"XOF","Boromo",11.7447567,-2.9300274,2021,2021 Q1,0.518248175182482,0.0314659784826705,3,0.0314659784826705
3372,Mar 2021,"Millet - Retail","KG","cereals and tubers",167,"XOF","Djibasso",13.1238952,-4.1587932,2021,2021 Q1,0.259124087591241,0.0243004675856912,3,0.0243004675856912
3766,Mar 2021,"Millet - Retail","KG","cereals and tubers",215,"XOF","Fara",11.5285634,-2.7665227,2021,2021 Q1,0.434306569343066,0.0283483703107811,3,0.0283483703107811
4188,Mar 2021,"Millet - Retail","KG","cereals and tubers",154,"XOF","Gassan",12.8187745,-3.2,2021,2021 Q1,0.211678832116788,0.0201006224353507,3,0.0201006224353507
4684,Mar 2021,"Millet - Retail","KG","cereals and tubers",156,"XOF","Solenzo",12.1783519,-4.0790712,2021,2021 Q1,0.218978102189781,0.0403665693991169,3,0.0403665693991169
5086,Mar 2021,"Millet - Retail","KG","cereals and tubers",190,"XOF","Toma",12.7564457,-2.8972321,2021,2021 Q1,0.343065693430657,0.0128170970229352,3,0.0128170970229352
5857,Mar 2021,"Millet - Retail","KG","cereals and tubers",241,"XOF","Banfora",10.642703,-4.752639,2021,2021 Q1,0.529197080291971,0.0298735502623082,3,0.0298735502623082
6419,Mar 2021,"Millet - Retail","KG","cereals and tubers",290,"XOF","Douna",10.61514717,-5.107333145,2021,2021 Q1,0.708029197080292,0.130079327865036,3,0.130079327865036
8199,Mar 2021,"Millet - Retail","KG","cereals and tubers",256,"XOF","Gounghin",12.37002709,-1.517322022,2021,2021 Q1,0.583941605839416,0.0138172952452561,3,0.0138172952452561
9329,Mar 2021,"Millet - Retail","KG","cereals and tubers",232,"XOF","Tenkodogo",11.7828079,-0.3651416,2021,2021 Q1,0.496350364963504,0.0314659784826705,3,0.0314659784826705
9834,Mar 2021,"Millet - Retail","KG","cereals and tubers",215,"XOF","Pouytenga",12.2467964,-0.4257424,2021,2021 Q1,0.434306569343066,0.00759732116593478,3,0.00759732116593478
10211,Mar 2021,"Millet - Retail","KG","cereals and tubers",258,"XOF","Koupela",12.18229209,-0.352622705,2021,2021 Q1,0.591240875912409,0.0334494576274149,3,0.0334494576274149
10635,Mar 2021,"Millet - Retail","KG","cereals and tubers",233,"XOF","Ouargaye",11.503281,0.0576243,2021,2021 Q1,0.5,0.0703916113941092,3,0.0703916113941092
10986,Mar 2021,"Millet - Retail","KG","cereals and tubers",249,"XOF","Zabre",11.18154132,-0.63425825,2021,2021 Q1,0.558394160583942,0.060742032763114,3,0.060742032763114
12071,Mar 2021,"Millet - Retail","KG","cereals and tubers",193,"XOF","Kongoussi",13.3224919,-1.5263393,2021,2021 Q1,0.354014598540146,0.0456326017846984,3,0.0456326017846984
12668,Mar 2021,"Millet - Retail","KG","cereals and tubers",208,"XOF","Kaya",13.085603,-1.0839593,2021,2021 Q1,0.408759124087591,0.180389465054853,3,0.180389465054853
13057,Mar 2021,"Millet - Retail","KG","cereals and tubers",196,"XOF","Boulsa",12.6626565,-0.5730914,2021,2021 Q1,0.364963503649635,0.0658284635448598,3,0.0658284635448598
13291,Mar 2021,"Millet - Retail","KG","cereals and tubers",236,"XOF","Yalgo",13.588066,-0.2653784,2021,2021 Q1,0.510948905109489,0.064911540496127,3,0.064911540496127
14512,Mar 2021,"Millet - Retail","KG","cereals and tubers",176,"XOF","Leo",11.18140975,-2.117444746,2021,2021 Q1,0.291970802919708,0.0213849097703734,3,0.0213849097703734
14816,Mar 2021,"Millet - Retail","KG","cereals and tubers",212,"XOF","Réo",12.3186862,-2.4696282,2021,2021 Q1,0.423357664233577,0.00364963503649635,3,0.00364963503649635
15115,Mar 2021,"Millet - Retail","KG","cereals and tubers",187,"XOF","Sapouy",11.5532714,-1.768851,2021,2021 Q1,0.332116788321168,0.078304306772526,3,0.078304306772526
15527,Mar 2021,"Millet - Retail","KG","cereals and tubers",202,"XOF","Tita",11.9268021,-2.5100082,2021,2021 Q1,0.386861313868613,0.0348152993217864,3,0.0348152993217864
15871,Mar 2021,"Millet - Retail","KG","cereals and tubers",303,"XOF","Guelwongo",11.0060426,-0.8609234,2021,2021 Q1,0.755474452554745,0.0164571158862149,3,0.0164571158862149
16206,Mar 2021,"Millet - Retail","KG","cereals and tubers",246,"XOF","Kombissiri",11.9886068,-1.294601954,2021,2021 Q1,0.547445255474453,0.0187284724067404,3,0.0187284724067404
16674,Mar 2021,"Millet - Retail","KG","cereals and tubers",226,"XOF","Manga",11.6673837,-1.0723972,2021,2021 Q1,0.474452554744526,0.0131589462608175,3,0.0131589462608175
