date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2018-11-15,Rice (imported) - Retail,KG,cereals and tubers,567.0,XAF,Chad,,0,National Average,1965,64,15,5,1,1965_64_15_5,
2018-10-15,Millet - Retail,KG,cereals and tubers,191.0,XAF,Chad,,0,National Average,1965,73,15,5,1,1965_73_15_5,
2018-11-15,Millet - Retail,KG,cereals and tubers,175.0,XAF,Chad,,0,National Average,1965,73,15,5,1,1965_73_15_5,
2018-10-15,Sorghum (red) - Retail,KG,cereals and tubers,172.0,XAF,Chad,,0,National Average,1965,282,15,5,1,1965_282_15_5,
2018-11-15,Sorghum (red) - Retail,KG,cereals and tubers,147.0,XAF,Chad,,0,National Average,1965,282,15,5,1,1965_282_15_5,
2014-04-15,Exchange rate - Retail,USD/LCU,non-food,476.1905,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-05-15,Exchange rate - Retail,USD/LCU,non-food,476.1905,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-06-15,Exchange rate - Retail,USD/LCU,non-food,483.0918,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-07-15,Exchange rate - Retail,USD/LCU,non-food,483.0918,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-08-15,Exchange rate - Retail,USD/LCU,non-food,492.6108,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-09-15,Exchange rate - Retail,USD/LCU,non-food,507.6142,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-10-15,Exchange rate - Retail,USD/LCU,non-food,518.1347,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-11-15,Exchange rate - Retail,USD/LCU,non-food,526.3158,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2014-12-15,Exchange rate - Retail,USD/LCU,non-food,531.9149,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2015-01-15,Exchange rate - Retail,USD/LCU,non-food,561.7978,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2015-02-15,Exchange rate - Retail,USD/LCU,non-food,578.0347,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2015-03-15,Exchange rate - Retail,USD/LCU,non-food,602.4096,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
2015-04-15,Exchange rate - Retail,USD/LCU,non-food,606.0606,XAF,Chad,,0,National Average,1965,305,15,56,8,1965_305_15_56,
