date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2019-09-15,Maize (local) - Retail,KG,cereals and tubers,211.6667,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-05-15,Maize (local) - Retail,KG,cereals and tubers,225.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-06-15,Maize (local) - Retail,KG,cereals and tubers,220.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-07-15,Maize (local) - Retail,KG,cereals and tubers,236.6667,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-08-15,Maize (local) - Retail,KG,cereals and tubers,210.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-11-15,Maize (local) - Retail,KG,cereals and tubers,220.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2021-01-15,Maize (local) - Retail,KG,cereals and tubers,220.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2021-02-15,Maize (local) - Retail,KG,cereals and tubers,205.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2021-03-15,Maize (local) - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,56,15,5,1,696_56_15_5,
2020-05-15,Wheat flour - Retail,KG,cereals and tubers,191.1111,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2020-06-15,Wheat flour - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2020-07-15,Wheat flour - Retail,KG,cereals and tubers,183.3333,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2020-08-15,Wheat flour - Retail,KG,cereals and tubers,176.6667,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2020-10-15,Wheat flour - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2020-11-15,Wheat flour - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2021-01-15,Wheat flour - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2021-02-15,Wheat flour - Retail,KG,cereals and tubers,200.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2021-03-15,Wheat flour - Retail,KG,cereals and tubers,180.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,58,15,5,1,696_58_15_5,
2009-06-15,Rice (imported) - Retail,KG,cereals and tubers,233.3333,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-07-15,Rice (imported) - Retail,KG,cereals and tubers,246.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-08-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-09-15,Rice (imported) - Retail,KG,cereals and tubers,232.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-10-15,Rice (imported) - Retail,KG,cereals and tubers,236.6667,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-11-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2009-12-15,Rice (imported) - Retail,KG,cereals and tubers,242.5,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-01-15,Rice (imported) - Retail,KG,cereals and tubers,243.3333,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-02-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-03-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-04-15,Rice (imported) - Retail,KG,cereals and tubers,245.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-05-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-06-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-07-15,Rice (imported) - Retail,KG,cereals and tubers,233.3333,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-08-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-09-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-10-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-11-15,Rice (imported) - Retail,KG,cereals and tubers,230.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2010-12-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-01-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-02-15,Rice (imported) - Retail,KG,cereals and tubers,247.5,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-03-15,Rice (imported) - Retail,KG,cereals and tubers,200.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-04-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-05-15,Rice (imported) - Retail,KG,cereals and tubers,240.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-06-15,Rice (imported) - Retail,KG,cereals and tubers,230.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-07-15,Rice (imported) - Retail,KG,cereals and tubers,235.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-08-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-09-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-10-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-11-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2011-12-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-01-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-02-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-03-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-04-15,Rice (imported) - Retail,KG,cereals and tubers,245.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-05-15,Rice (imported) - Retail,KG,cereals and tubers,245.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-09-15,Rice (imported) - Retail,KG,cereals and tubers,270.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-10-15,Rice (imported) - Retail,KG,cereals and tubers,276.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2012-11-15,Rice (imported) - Retail,KG,cereals and tubers,300.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2013-02-15,Rice (imported) - Retail,KG,cereals and tubers,295.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2013-03-15,Rice (imported) - Retail,KG,cereals and tubers,295.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2013-04-15,Rice (imported) - Retail,KG,cereals and tubers,285.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2013-05-15,Rice (imported) - Retail,KG,cereals and tubers,284.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2013-06-15,Rice (imported) - Retail,KG,cereals and tubers,280.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-01-15,Rice (imported) - Retail,KG,cereals and tubers,290.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-02-15,Rice (imported) - Retail,KG,cereals and tubers,300.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-04-15,Rice (imported) - Retail,KG,cereals and tubers,275.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-05-15,Rice (imported) - Retail,KG,cereals and tubers,200.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-06-15,Rice (imported) - Retail,KG,cereals and tubers,300.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-07-15,Rice (imported) - Retail,KG,cereals and tubers,300.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-10-15,Rice (imported) - Retail,KG,cereals and tubers,280.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-11-15,Rice (imported) - Retail,KG,cereals and tubers,260.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2014-12-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2015-01-15,Rice (imported) - Retail,KG,cereals and tubers,250.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
2015-02-15,Rice (imported) - Retail,KG,cereals and tubers,300.0,MRO,Mauritania,Adrar,2004,Aoujeft,696,64,15,5,1,696_64_15_5,
