date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2006-02-15,Sorghum - Retail,3 KG,cereals and tubers,1.845,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-03-15,Sorghum - Retail,3 KG,cereals and tubers,1.85,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-04-15,Sorghum - Retail,3 KG,cereals and tubers,1.64,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-05-15,Sorghum - Retail,3 KG,cereals and tubers,1.52,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-06-15,Sorghum - Retail,3 KG,cereals and tubers,1.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-07-15,Sorghum - Retail,3 KG,cereals and tubers,1.5675,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-08-15,Sorghum - Retail,3 KG,cereals and tubers,1.3925,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-09-15,Sorghum - Retail,3 KG,cereals and tubers,1.0675,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-10-15,Sorghum - Retail,3 KG,cereals and tubers,1.125,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-11-15,Sorghum - Retail,3 KG,cereals and tubers,0.9575,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2006-12-15,Sorghum - Retail,3 KG,cereals and tubers,0.9075,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-01-15,Sorghum - Retail,3 KG,cereals and tubers,0.9575,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-02-15,Sorghum - Retail,3 KG,cereals and tubers,1.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-03-15,Sorghum - Retail,3 KG,cereals and tubers,1.0675,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-04-15,Sorghum - Retail,3 KG,cereals and tubers,1.1025,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-05-15,Sorghum - Retail,3 KG,cereals and tubers,0.9825,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-06-15,Sorghum - Retail,3 KG,cereals and tubers,0.9475,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-07-15,Sorghum - Retail,3 KG,cereals and tubers,0.885,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-08-15,Sorghum - Retail,3 KG,cereals and tubers,0.8425,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-09-15,Sorghum - Retail,3 KG,cereals and tubers,0.685,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-10-15,Sorghum - Retail,3 KG,cereals and tubers,0.8,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-11-15,Sorghum - Retail,3 KG,cereals and tubers,0.985,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2007-12-15,Sorghum - Retail,3 KG,cereals and tubers,1.23,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-01-15,Sorghum - Retail,3 KG,cereals and tubers,1.67,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-02-15,Sorghum - Retail,3 KG,cereals and tubers,1.67,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-03-15,Sorghum - Retail,3 KG,cereals and tubers,1.67,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-04-15,Sorghum - Retail,3 KG,cereals and tubers,1.715,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-05-15,Sorghum - Retail,3 KG,cereals and tubers,1.915,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-06-15,Sorghum - Retail,3 KG,cereals and tubers,1.83,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-07-15,Sorghum - Retail,3 KG,cereals and tubers,2.3325,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-08-15,Sorghum - Retail,3 KG,cereals and tubers,2.5225,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-09-15,Sorghum - Retail,3 KG,cereals and tubers,2.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-10-15,Sorghum - Retail,3 KG,cereals and tubers,2.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-11-15,Sorghum - Retail,3 KG,cereals and tubers,2.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-12-15,Sorghum - Retail,3 KG,cereals and tubers,2.625,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-01-15,Sorghum - Retail,3 KG,cereals and tubers,2.71,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-02-15,Sorghum - Retail,3 KG,cereals and tubers,2.83,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-03-15,Sorghum - Retail,3 KG,cereals and tubers,2.8075,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-04-15,Sorghum - Retail,3 KG,cereals and tubers,2.83,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-05-15,Sorghum - Retail,3 KG,cereals and tubers,3.33,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
